timestamp,store_id,product_id,city,channel,promo_flag,price,discount,units,temperature,stock,revenue
2024-01-04,103,1020, naples,Retail,0,15.57,0.077,6.0,6.1,39,78.85
2024-01-04,117,1010,turin,Online,0,30.5,0.124,8.0,13.8,89,216.72
2024-01-04,111,1091,Naples,Online,0,41.08,0.142,9.0,15.7,47,312.03
2024-01-04,101,1004,milan,Online,0,0.0,0.087,13.0,25.8,38,381.64
2024-01-04,109,1080,,Retail,0,41.67,0.298,9.0,23.6,65,256.09
2024-01-04,103,1055,milan,Online,0,19.54,0.144,,22.0,39,117.61
2024-01-04,113,1019,,Online,0,20.68,0.273,6.0,13.8,51,90.42
2024-01-04,115,1040,Naples,Retail,1,56.52,0.284,12.0,14.1,80,478.89
2024-01-04,114,1045,,Online,0,21.76,0.1,7.0,13.3,44,132.04
2024-01-05,107,1011,milan,Retail,0,27.38,0.099,12.0,27.8,49,310.73
2024-01-05,113,1069, naples,Online,0,,,,13.7,52,144.55
2024-01-05,107,1016,Milan ,Retail,1,30.58,0.192,19.0,7.7,68,470.82
2024-01-05,115,1018,milan,Online,1,33.24,0.12,15.0,16.8,46,437.56
2024-01-05,112,1025,turin,Retail,0,29.26,0.18,8.0,28.9,74,191.52
2024-01-05,117,1047,rome,Retail,0,25.55,0.196,6.0,17.5,46,118.62
2024-01-05,114,1051,Naples,Online,1,30.58,0.004,16.0,17.6,62,465.23
2024-01-05,112,1095,milan,Online,1,33.7,0.225,,8.7,41,367.93
2024-01-05,108,1069,rome,Online,0,24.9,0.171,10.0,21.8,52,211.7
2024-01-05,114,1054,Turin,Retail,1,32.79,0.324,20.0,25.0,58,454.78
2024-01-05,112,1099, naples,Retail,0,18.6,0.145,13.0,16.8,49,217.32
2024-01-05,100,1074,turin,Online,1,28.61,0.136,14.0,23.2,36,360.09
2024-01-05,106,1032,turin,Retail,0,30.17,0.198,8.0,-3.0,44,189.59
2024-01-05,108,1061,N/A,Online,0,33.27,0.232,8.0,,64,230.68
2024-01-05,100,1087,rome,Online,0,18.8,0.313,5.0,18.8,43,70.21
2024-01-05,111,1022,turin,Wholesale,1,26.05,,16.0,13.1,81,309.71
2024-01-05,107,1014,,Retail,1,,0.127,13.0,,52,365.3
2024-01-05,110,1026,turin,Online,0,25.65,0.092,8.0,33.2,52,179.41
2024-01-05,118,1074, naples,Retail,0,30.8,,8.0,19.6,54,206.57
2024-01-05,116,1063,turin,Wholesale,0,35.17,0.276,4.0,20.6,52,100.34
2024-01-05,107,1080,turin,Retail,0,25.43,,7.0,18.4,75,145.0
2024-01-05,102,1050,turin,Retail,0,37.25,0.028,4.0,14.2,44,136.76
2024-01-06,102,1052,milan,Retail,0,34.34,0.286,9.0,7.8,56,246.67
2024-01-06,100,1077,Milan ,Online,1,31.68,0.099,7.0,23.3,66,205.84
2024-01-06,104,1090,N/A,Retail,0,51.46,0.403,8.0,15.5,75,229.76
2024-01-06,109,1081,rome,Online,0,46.63,0.266,10.0,17.3,55,352.67
2024-01-06,106,1091,turin,Retail,0,49.55,0.127,9.0,25.5,30,379.33
2024-01-06,108,1050,Rome,Online,0,34.81,0.306,10.0,23.3,28,234.92
2024-01-06,106,1046, naples,Retail,1,21.09,0.15,9.0,,56,169.51
2024-01-06,108,1003,,Online,0,20.51,0.26,7.0,21.5,57,106.54
2024-01-06,107,1006,Milan ,Online,0,37.69,0.403,8.0,23.2,51,177.17
2024-01-06,111,1034,,Online,0,48.58,0.297,7.0,12.8,46,242.42
2024-01-06,101,1047,N/A,Wholesale,0,41.32,0.294,8.0,15.1,49,219.4
2024-01-06,100,1072,turin,Wholesale,0,51.66,0.284,8.0,20.1,48,296.41
2024-01-07,115,1071, naples,Online,0,17.53,0.218,4.0,23.3,48,59.97
2024-01-07,104,1044,turin,Wholesale,0,,0.111,13.0,20.8,56,187.89
2024-01-07,102,1080,turin,Retail,0,14.22,0.207,8.0,20.8,50,91.69
2024-01-07,111,1080,Naples,Retail,0,31.89,0.182,3.0,15.0,39,79.36
2024-01-07,107,1096,milan,Online,0,21.77,,11.0,,44,150.71
2024-01-07,102,1095,turin,Wholesale,0,30.15,0.139,5.0,21.5,29,112.82
2024-01-07,100,1071,,Retail,0,23.15,0.162,6.0,13.2,18,113.57
2024-01-07,102,1018,,Retail,1,34.35,0.229,12.0,14.8,50,327.42
2024-01-07,104,1062,milan,Retail,0,32.03,0.114,8.0,5.3,54,244.25
2024-01-07,114,1037,turin,Retail,0,36.67,0.313,8.0,13.9,32,195.76
2024-01-07,113,1066,Naples,Retail,0,24.82,0.178,7.0,15.1,57,134.06
2024-01-07,102,1058, naples,Online,0,45.23,0.038,11.0,,54,492.89
2024-01-07,100,1068,milan,Online,0,29.79,,3.0,11.7,39,75.33
2024-01-07,104,1012, naples,Online,1,23.37,0.169,15.0,18.6,48,283.27
2024-01-07,113,1046,Rome,Online,0,25.06,0.267,6.0,21.8,30,114.5
2024-01-08,106,1060,,Retail,0,40.88,,8.0,21.9,58,195.62
2024-01-08,108,1030,turin,Retail,0,30.99,0.221,9.0,22.4,20,218.43
2024-01-08,114,1079,turin,Retail,1,23.1,0.197,14.0,25.1,47,262.87
2024-01-08,114,1095,Naples,Online,0,29.74,,8.0,26.7,68,170.22
2024-01-08,109,1021,,Online,0,24.44,0.7,4.0,16.8,49,29.34
2024-01-08,112,1092,Rome,Online,1,28.85,0.039,11.0,14.8,42,301.22
2024-01-08,118,1085,rome,Online,1,62.95,0.289,10.0,23.3,29,415.28
2024-01-08,106,1042,turin,Online,1,45.15,,10.0,7.9,82,407.72
2024-01-08,116,1066,Milan ,Retail,0,36.59,0.227,5.0,17.4,30,141.43
2024-01-08,119,1053,rome,Online,0,18.35,0.149,7.0,12.1,68,111.87
2024-01-08,103,1009,rome,Retail,0,10.86,0.197,7.0,12.5,43,60.06
2024-01-08,104,1041,milan,Online,0,26.79,0.087,9.0,14.2,52,227.81
2024-01-08,106,1063,N/A,Retail,0,28.23,0.121,9.0,22.9,47,234.09
2024-01-08,112,1020,rome,Retail,1,36.46,0.028,9.0,33.0,31,318.65
2024-01-08,114,1079, naples,Wholesale,1,14.95,0.138,13.0,23.4,38,185.51
2024-01-08,110,1075,milan,Retail,0,20.94,0.146,12.0,5.0,69,224.83
2024-01-08,103,1065,turin,Wholesale,0,47.92,0.287,9.0,16.5,17,309.9
2024-01-08,112,1040,rome,Retail,0,22.37,0.031,7.0,13.5,47,146.38
2024-01-08,106,1023,Turin,Retail,1,23.05,,10.0,10.8,75,164.36
2024-01-08,118,1034, naples,Online,0,74.11,0.372,12.0,16.7,56,549.79
2024-01-08,101,1055,Milan ,Online,1,46.32,0.122,8.0,12.9,56,315.63
2024-01-08,109,1029, naples,Online,0,38.74,0.094,9.0,12.3,57,297.93
2024-01-08,112,1056,milan,Retail,0,38.13,0.144,8.0,22.8,49,255.79
2024-01-08,105,1093, naples,Online,1,,0.248,15.0,19.3,43,204.39
2024-01-09,111,1046,rome,Retail,0,31.7,0.019,10.0,29.4,67,336.56
2024-01-09,111,1034,,Wholesale,0,,0.07,12.0,9.4,32,312.56
2024-01-09,119,1018,milan,Online,1,41.14,0.223,12.0,7.9,57,366.96
2024-01-09,110,1007,turin,Online,0,13.36,0.311,2.0,15.7,36,18.59
2024-01-09,106,1025,Milan ,Wholesale,0,32.01,0.081,7.0,14.5,40,207.07
2024-01-09,100,1070,rome,Online,0,42.78,0.216,11.0,22.6,67,401.93
2024-01-09,100,1029, naples,Retail,0,27.89,0.251,9.0,20.9,45,197.41
2024-01-09,119,1006,,Online,1,28.39,0.404,10.0,22.1,40,162.36
2024-01-09,112,1066,rome,Retail,1,28.71,0.23,15.0,,75,316.26
2024-01-09,108,1064,milan,Online,1,22.87,0.051,9.0,16.2,34,205.42
2024-01-09,102,1035,rome,Retail,0,41.92,0.134,12.0,4.7,79,430.6
2024-01-09,106,1024,milan,Retail,0,,0.269,6.0,25.4,53,223.4
2024-01-09,105,1036,milan,Online,0,14.86,0.128,5.0,12.2,67,63.56
2024-01-10,107,1000,Naples,Online,1,,0.142,16.0,17.8,38,506.41
2024-01-10,108,1014,milan,Online,0,28.23,0.183,6.0,7.6,64,143.69
2024-01-10,104,1036,milan,Wholesale,0,18.21,0.063,6.0,12.3,63,102.83
2024-01-10,100,1012,,Retail,1,0.0,0.231,14.0,15.8,41,187.87
2024-01-10,118,1007,Rome,Online,0,29.77,0.081,10.0,,44,279.84
2024-01-10,109,1004,milan,Online,0,27.35,0.147,8.0,18.6,27,187.82
2024-01-10,111,1059,rome,Online,0,17.9,0.146,9.0,22.9,33,118.38
2024-01-10,114,1072,turin,Retail,1,24.71,0.17,11.0,25.3,61,231.3
2024-01-10,108,1000,,Retail,0,36.96,0.03,12.0,22.6,47,408.15
2024-01-10,119,1035, naples,Online,1,19.81,0.567,16.0,18.8,29,135.16
2024-01-10,116,1034,milan,Retail,0,29.5,0.131,6.0,13.6,56,149.63
2024-01-10,116,1065,Naples,Retail,1,37.72,0.144,16.0,,70,458.01
2024-01-10,119,1062,rome,Wholesale,0,26.03,0.142,12.0,17.7,65,273.14
2024-01-10,111,1022,turin,Wholesale,0,18.61,0.219,13.0,20.4,66,175.53
2024-01-10,106,1008,N/A,Retail,1,33.14,0.34,,12.1,21,171.49
2024-01-10,101,1033,turin,Retail,1,19.62,,18.0,17.0,56,280.12
2024-01-11,102,1045,rome,Online,0,33.27,0.268,4.0,24.1,21,89.17
2024-01-11,116,1077,rome,Retail,1,30.29,0.162,10.0,24.7,31,265.63
2024-01-11,104,1003,rome,Online,1,42.58,0.123,6.0,,64,219.68
2024-01-11,116,1029,Milan ,Online,0,26.69,0.059,8.0,14.1,55,197.82
2024-01-11,116,1094,Milan ,Online,0,53.49,0.1,6.0,18.8,70,291.22
2024-01-11,116,1074,Turin,Retail,1,37.87,0.214,8.0,17.5,47,233.84
2024-01-11,101,1098,Rome,Online,0,45.99,0.186,14.0,5.3,68,499.58
2024-01-11,101,1071, naples,Online,0,28.1,0.326,,30.1,54,160.64
2024-01-11,104,1002,Naples,Online,1,24.81,0.331,13.0,13.3,36,234.91
2024-01-11,100,1013,Naples,Online,0,19.17,0.479,8.0,14.7,64,79.74
2024-01-11,100,1059,milan,Online,0,23.63,0.097,7.0,9.2,49,143.53
2024-01-11,118,1076,N/A,Retail,1,28.21,0.289,9.0,25.1,53,183.53
2024-01-11,101,1044,Milan ,Retail,0,40.43,0.19,8.0,13.2,66,273.84
2024-01-11,111,1095,turin,Online,1,29.17,0.064,12.0,20.9,85,373.28
2024-01-11,105,1033,Turin,Retail,1,20.37,0.224,11.0,22.4,44,173.72
2024-01-11,103,1044,,Retail,0,17.4,0.18,5.0,13.5,59,69.51
2024-01-12,110,1060,Naples,Online,0,21.56,0.342,10.0,12.7,48,125.32
2024-01-12,116,1082,milan,Retail,0,20.6,0.212,7.0,19.8,39,113.16
2024-01-12,105,1015,Rome,Wholesale,0,44.9,0.489,6.0,4.0,48,133.76
2024-01-12,104,1065,turin,Online,0,25.36,0.165,5.0,22.7,62,106.36
2024-01-12,119,1039,Rome,Online,0,17.3,0.258,6.0,16.2,61,77.3
2024-01-12,101,1016,N/A,Wholesale,0,33.78,0.231,11.0,12.9,28,303.12
2024-01-12,105,1033,rome,Retail,0,29.02,0.062,11.0,14.1,46,302.42
2024-01-12,110,1015,rome,Online,0,31.94,,7.0,16.4,75,180.17
2024-01-12,115,1059,rome,Retail,0,29.38,0.29,7.0,15.1,27,147.32
2024-01-12,115,1065,rome,Online,0,23.73,0.366,9.0,27.7,29,133.25
2024-01-12,100,1065,,Retail,0,22.38,,9.0,9.9,67,206.93
2024-01-12,108,1089,turin,Online,0,13.99,0.1,7.0,11.3,46,89.92
2024-01-12,105,1012,turin,Online,0,27.51,0.218,5.0,18.2,20,111.69
2024-01-12,115,1055,N/A,Retail,0,39.29,0.074,10.0,25.8,47,359.4
2024-01-12,102,1030,N/A,Online,1,40.15,,10.0,15.4,41,358.16
2024-01-12,119,1033,N/A,Online,0,22.78,0.443,6.0,11.4,37,72.39
2024-01-12,103,1038,milan,Retail,0,49.88,0.057,7.0,18.5,84,353.93
2024-01-12,118,1066,turin,Retail,0,17.07,0.203,4.0,22.7,23,59.52
2024-01-12,102,1007,rome,Online,0,28.98,0.034,11.0,22.3,40,296.23
2024-01-12,118,1086,milan,Retail,0,21.59,0.197,3.0,8.6,52,49.16
2024-01-12,119,1077,turin,Online,1,29.12,0.098,12.0,,26,327.4
2024-01-12,106,1054,rome,Online,0,46.11,0.371,,14.9,68,169.87
2024-01-12,119,1026,milan,Online,1,19.27,0.157,15.0,,37,224.23
2024-01-12,108,1092,milan,Online,0,26.5,0.164,12.0,24.6,32,249.27
2024-01-12,100,1052,milan,Retail,0,25.47,0.127,14.0,6.7,59,310.13
2024-01-13,107,1038,,Online,0,27.57,0.187,6.0,8.4,58,-149.79
2024-01-13,106,1064,milan,Retail,0,22.34,,5.0,,49,94.89
2024-01-13,117,1016,rome,Online,0,35.34,0.52,3.0,7.8,35,49.36
2024-01-13,107,1029, naples,Wholesale,0,23.92,0.189,10.0,13.5,42,180.39
2024-01-13,100,1052,Rome,Retail,0,23.22,0.148,10.0,11.5,50,193.47
2024-01-13,110,1012,,Retail,0,46.34,0.206,8.0,16.5,37,291.84
2024-01-13,117,1020,milan,Online,0,28.84,0.295,4.0,12.9,71,81.72
2024-01-13,109,1018, naples,Online,0,23.19,0.239,6.0,,77,102.54
2024-01-13,102,1052,turin,Online,0,36.72,0.144,5.0,21.1,29,152.49
2024-01-13,106,1018,,Wholesale,0,27.18,,13.0,22.5,74,237.71
2024-01-13,115,1056,turin,Online,1,25.46,0.087,12.0,11.9,46,273.91
2024-01-13,115,1024,N/A,Retail,0,32.66,,2.0,20.5,29,58.43
2024-01-13,119,1085,,Retail,0,59.54,0.225,10.0,35.7,57,467.28
2024-01-13,116,1030,Rome,Online,0,25.77,0.292,3.0,17.9,45,56.91
2024-01-13,101,1080,Rome,Retail,1,,0.026,8.0,18.0,56,261.43
2024-01-13,100,1054,N/A,Retail,0,28.58,0.04,8.0,17.4,63,225.93
2024-01-14,115,1022,Milan ,Retail,0,18.04,0.512,15.0,18.3,60,142.38
2024-01-14,111,1031,Milan ,Online,0,21.05,0.282,9.0,17.6,39,133.84
2024-01-14,104,1061,rome,Online,0,33.61,0.341,10.0,5.4,76,229.28
2024-01-14,104,1073,milan,Online,0,27.89,0.171,9.0,20.1,44,199.29
2024-01-14,108,1009,Milan ,Retail,0,24.89,,9.0,13.4,61,162.59
2024-01-14,108,1099,,Retail,1,34.63,0.193,14.0,10.4,61,381.08
2024-01-14,102,1071, naples,Online,0,31.78,0.026,12.0,8.1,55,374.29
2024-01-14,118,1053,turin,Wholesale,0,16.21,0.108,7.0,10.0,56,106.13
2024-01-14,115,1051,turin,Online,0,20.76,0.368,9.0,29.7,35,112.91
2024-01-14,115,1019,Rome,Retail,0,28.86,0.162,10.0,13.7,44,256.04
2024-01-14,102,1031,Milan ,Wholesale,0,19.67,0.118,7.0,14.3,34,120.19
2024-01-14,119,1013,rome,Retail,0,44.37,0.082,6.0,,64,244.51
2024-01-14,100,1049,rome,Retail,0,9.57,0.076,7.0,23.9,42,59.66
2024-01-14,119,1027,turin,Online,0,28.85,,8.0,13.8,43,173.29
2024-01-14,110,1052,Rome,Online,0,27.25,,9.0,10.9,41,190.44
2024-01-14,116,1023,milan,Retail,0,50.43,0.251,9.0,28.4,42,350.9
2024-01-14,107,1078, naples,Online,0,30.04,0.27,6.0,21.5,47,124.59
2024-01-14,103,1021,,Online,0,25.3,0.076,,13.7,44,263.96
2024-01-14,105,1029,N/A,Retail,1,21.18,0.13,9.0,28.2,52,155.93
2024-01-15,107,1062,N/A,Online,0,,0.213,4.0,,47,98.9
2024-01-15,119,1003,Turin,Wholesale,0,27.43,0.245,7.0,12.9,29,140.62
2024-01-15,102,1076,rome,Retail,1,17.91,0.127,12.0,,61,182.1
2024-01-15,115,1058,Turin,Retail,0,35.46,0.335,4.0,8.7,54,100.11
2024-01-15,102,1086,Milan ,Retail,1,24.63,0.233,11.0,19.1,60,217.6
2024-01-15,117,1007,turin,Retail,0,38.51,0.202,13.0,-4.9,50,388.66
2024-01-15,113,1081,turin,Retail,0,46.36,0.131,11.0,9.2,57,465.74
2024-01-15,117,1011,milan,Retail,0,17.05,0.016,10.0,17.6,32,168.81
2024-01-15,101,1030,Turin,Online,1,27.13,0.167,12.0,26.1,43,254.88
2024-01-15,102,1077,,Retail,0,32.14,0.411,3.0,22.2,58,55.94
2024-01-15,115,1033,rome,Retail,1,23.19,0.095,228.0,26.6,43,243.73
2024-01-15,108,1081,N/A,Online,0,31.18,0.148,10.0,17.0,69,273.5
2024-01-15,103,1097,milan,Online,1,20.51,0.314,16.0,32.3,71,213.95
2024-01-15,100,1074,Naples,Retail,0,44.02,0.044,12.0,,54,495.44
2024-01-15,103,1075, naples,Online,0,44.11,0.265,12.0,12.7,50,395.96
2024-01-15,100,1048,Naples,Wholesale,1,22.46,0.192,12.0,23.7,80,215.83
2024-01-15,113,1078,,Wholesale,1,15.7,0.373,12.0,19.0,11,122.61
2024-01-15,115,1056,N/A,Online,0,25.35,0.171,12.0,,55,254.71
2024-01-16,119,1094,Turin,Retail,0,25.34,0.37,11.0,20.0,65,165.48
2024-01-16,107,1092,rome,Online,0,36.95,0.293,8.0,13.7,24,213.9
2024-01-16,106,1025,,Retail,0,18.01,0.24,8.0,14.7,37,116.81
2024-01-16,102,1017,milan,Online,0,50.93,0.083,8.0,31.2,64,374.15
2024-01-16,116,1095,N/A,Retail,0,24.74,0.292,5.0,25.0,47,88.94
2024-01-16,100,1085,rome,Online,0,,0.149,4.0,,57,99.78
2024-01-16,115,1037,milan,Online,1,30.36,0.046,13.0,21.9,20,362.21
2024-01-17,111,1080,,Online,0,44.22,0.106,5.0,10.1,28,214.34
2024-01-17,118,1086,rome,Online,0,39.03,0.205,8.0,11.2,42,263.54
2024-01-17,113,1087,rome,Retail,0,54.5,,4.0,22.3,68,163.64
2024-01-17,105,1049,rome,Online,0,25.34,0.064,9.0,24.6,60,214.24
2024-01-17,105,1007,milan,Online,0,26.67,0.024,6.0,24.8,35,160.94
2024-01-17,112,1040,Milan ,Retail,0,16.0,,7.0,14.7,37,78.8
2024-01-17,118,1005,milan,Retail,0,31.31,0.302,4.0,11.8,59,92.6
2024-01-17,107,1068, naples,Retail,1,14.03,0.176,15.0,21.0,51,179.96
2024-01-17,101,1043,milan,Wholesale,0,28.57,,11.0,7.8,56,260.65
2024-01-17,100,1063,turin,Online,1,29.65,0.328,15.0,,43,297.7
2024-01-17,114,1028,rome,Online,1,30.76,0.26,16.0,25.9,41,362.25
2024-01-17,100,1027,,Retail,1,30.22,0.126,9.0,14.0,49,232.25
2024-01-17,104,1010,N/A,Retail,0,19.79,0.234,7.0,23.0,38,104.73
2024-01-17,115,1064,rome,Wholesale,0,54.33,,9.0,3.4,38,489.04
2024-01-17,118,1018,Turin,Online,0,22.86,,6.0,16.5,22,96.35
2024-01-17,103,1008,N/A,Online,0,,0.087,8.0,10.1,42,298.9
2024-01-17,102,1026,,Online,0,63.49,0.147,9.0,4.2,32,507.42
2024-01-17,116,1033,Naples,Retail,0,26.9,0.199,11.0,13.1,39,251.62
2024-01-17,116,1043,milan,Retail,0,17.31,0.163,9.0,17.2,47,125.32
2024-01-18,111,1067,turin,Online,0,20.55,0.107,2.0,15.5,61,39.85
2024-01-18,113,1099,turin,Online,0,28.1,0.168,12.0,19.0,46,294.83
2024-01-18,105,1081,turin,Retail,1,53.55,0.35,11.0,21.5,51,407.84
2024-01-18,102,1014,rome,Retail,0,15.34,0.128,12.0,20.5,43,184.46
2024-01-18,108,1050,N/A,Online,0,27.98,0.151,6.0,17.6,52,148.65
2024-01-18,104,1012,,Retail,0,25.09,,9.0,20.2,48,135.61
2024-01-18,116,1082,rome,Retail,1,0.0,0.194,16.0,,19,412.65
2024-01-18,113,1048,milan,Retail,0,33.92,0.08,12.0,9.0,46,349.75
2024-01-18,102,1069,Milan ,Retail,0,31.57,0.068,5.0,10.2,48,157.61
2024-01-19,100,1055,N/A,Online,0,20.46,0.386,13.0,18.1,54,174.44
2024-01-19,119,1075,turin,Online,0,20.17,0.465,10.0,23.8,37,117.59
2024-01-19,100,1050,turin,Retail,0,17.64,0.107,4.0,,44,65.51
2024-01-19,102,1036, naples,Online,1,28.84,0.13,10.0,20.9,60,272.25
2024-01-19,117,1016,Naples,Retail,1,24.65,0.322,9.0,6.6,38,138.47
2024-01-19,109,1057,rome,Retail,1,30.42,,19.0,20.2,40,421.15
2024-01-19,102,1086, naples,Retail,1,26.3,0.154,9.0,23.4,70,191.07
2024-01-19,107,1089,Turin,Online,0,56.61,0.143,5.0,14.3,35,222.91
2024-01-19,113,1028,,Online,1,12.77,0.235,11.0,15.8,22,117.09
2024-01-19,117,1032,,Retail,0,26.01,,10.0,24.4,62,179.72
2024-01-19,114,1059,,Online,0,16.89,0.393,7.0,16.9,26,71.21
2024-01-19,101,1090, naples,Retail,0,36.35,0.058,8.0,18.7,46,280.68
2024-01-20,109,1088, naples,Retail,0,24.15,0.227,10.0,15.4,54,179.11
2024-01-20,101,1054,turin,Online,0,22.6,0.046,8.0,25.8,62,156.54
2024-01-20,116,1009,,Retail,0,41.56,0.288,14.0,7.4,58,417.45
2024-01-20,107,1046,Milan ,Online,0,19.82,0.31,5.0,16.1,34,66.56
2024-01-20,100,1022,rome,Online,1,58.16,0.318,14.0,14.6,73,607.64
2024-01-20,108,1084,milan,Wholesale,0,38.68,0.236,11.0,14.0,44,329.99
2024-01-20,110,1020,turin,Wholesale,0,19.58,0.149,11.0,9.9,37,188.72
2024-01-20,115,1012,rome,Online,1,30.85,0.033,10.0,27.2,63,253.35
2024-01-20,106,1032,rome,Wholesale,0,,0.021,7.0,15.5,35,323.64
2024-01-20,109,1023,milan,Online,1,74.38,0.159,11.0,,55,684.39
2024-01-20,102,1010,Rome,Online,0,13.83,0.07,5.0,23.6,44,69.01
2024-01-20,117,1016,N/A,Online,1,12.72,0.137,15.0,17.9,44,158.99
2024-01-20,112,1067,rome,Wholesale,0,16.36,0.22,3.0,5.9,86,39.27
2024-01-20,106,1046,turin,Online,0,23.91,0.171,5.0,4.5,51,93.83
2024-01-21,103,1024,turin,Retail,0,19.38,0.404,11.0,17.0,16,117.74
2024-01-21,112,1093,N/A,Retail,0,39.73,0.061,9.0,21.7,26,326.84
2024-01-21,119,1072,milan,Retail,1,16.46,0.313,14.0,17.3,53,155.25
2024-01-21,100,1020,,Online,0,9.74,0.019,12.0,8.0,28,108.47
2024-01-21,107,1083,Naples,Online,0,23.54,0.147,8.0,24.5,40,158.56
2024-01-21,113,1082,,Online,0,,0.131,6.0,12.4,62,146.93
2024-01-21,115,1082,,Retail,1,20.92,0.156,15.0,32.9,47,276.66
2024-01-21,113,1011,rome,Retail,0,26.93,0.15,5.0,,60,102.91
2024-01-21,111,1036,milan,Retail,1,18.7,0.028,11.0,21.5,68,200.47
2024-01-21,118,1041,rome,Retail,0,15.75,0.107,7.0,25.8,60,88.47
